id,split,source,source_locale,target_locale,wikidata_id,entity_types,targets,reference_translation,reference_mention,reference_translations,reference_mentions,gpt4o_prediction,gpt4o_mini_prediction,primary_entity_type,selection_score,selection_reasons,gpt_models_differ,gpt4o_any_reference_mention_match,gpt4o_mini_any_reference_mention_match,model_mention_match_disagree,multi_reference_example,ascii_preservation_disagreement,selection_stage
Q52910_0,validation,What genre does The Shadow of the Wind belong to?,en,ko,Q52910,"[""Artwork"", ""Book""]","[{""translation"": ""바람의 그림자는 어떤 장르에 속하나요?"", ""mention"": ""바람의 그림자""}, {""translation"": ""바람의 그림자는 어떤 장르인가요?"", ""mention"": ""바람의 그림자""}, {""translation"": ""바람의 그림자바람의 그림자는 어떤 장르인가요?"", ""mention"": ""바람의 그림자""}]",바람의 그림자는 어떤 장르에 속하나요?,바람의 그림자,"[""바람의 그림자는 어떤 장르에 속하나요?"", ""바람의 그림자는 어떤 장르인가요?"", ""바람의 그림자바람의 그림자는 어떤 장르인가요?""]","[""바람의 그림자"", ""바람의 그림자"", ""바람의 그림자""]","""바람의 그림자""는 어떤 장르에 속하나요?","""The Shadow of the Wind""는 어떤 장르에 속하나요?",Artwork,12,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q1389239_0,validation,Can you provide an example of a specific instruction from the FMA instruction set?,en,ko,Q1389239,"[""Book""]","[{""translation"": ""FMA 명령어 집합의 명령어 중 하나를 예를 들어줄 수 있나요?"", ""mention"": ""FMA 명령어 집합""}, {""translation"": ""FMA 명령어 집합의 특정 명령어의 예를 제공할 수 있나요?"", ""mention"": ""FMA 명령어 집합""}]",FMA 명령어 집합의 명령어 중 하나를 예를 들어줄 수 있나요?,FMA 명령어 집합,"[""FMA 명령어 집합의 명령어 중 하나를 예를 들어줄 수 있나요?"", ""FMA 명령어 집합의 특정 명령어의 예를 제공할 수 있나요?""]","[""FMA 명령어 집합"", ""FMA 명령어 집합""]",FMA 명령어 집합의 특정 명령어 예시를 제공할 수 있나요?,FMA 명령어 세트의 특정 명령어 예시를 제공할 수 있나요?,Book,10,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example""]",True,True,False,True,True,False,seed
Q1074831_0,validation,Is Demon Lord Dante more popular as a book series or a TV series?,en,ko,Q1074831,"[""Book series"", ""TV series""]","[{""translation"": ""마왕 단테는 책 시리즈나 TV 시리즈로 더 인기가 있나요?"", ""mention"": ""마왕 단테""}, {""translation"": ""마왕 단테 는 책 시리즈나 TV 시리즈로 더 인기가 있나요?"", ""mention"": ""마왕 단테""}]",마왕 단테는 책 시리즈나 TV 시리즈로 더 인기가 있나요?,마왕 단테,"[""마왕 단테는 책 시리즈나 TV 시리즈로 더 인기가 있나요?"", ""마왕 단테 는 책 시리즈나 TV 시리즈로 더 인기가 있나요?""]","[""마왕 단테"", ""마왕 단테""]",《마왕 단테》는 책 시리즈와 TV 시리즈 중 어디에서 인기가 더 많은가요?,"다몬 로드 단테는 책 시리즈로 더 인기가 있나요, 아니면 TV 시리즈로 더 인기가 있나요?",Book series,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,True,False,True,True,False,seed
Q552179_0,validation,What was the surprising discovery about the DNA found at the crime scenes linked to the Phantom of Heilbronn?,en,ko,Q552179,"[""Fictional entity"", ""Person""]","[{""translation"": ""하일브론의 유령 과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요"", ""mention"": ""하일브론의 유령""}, {""translation"": ""하일브론의 유령과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요?"", ""mention"": ""하일브론의 유령""}, {""translation"": ""하일브론의 유령과 관련된 범죄 현장에서 발견된 DNA의 놀라운 사실은 무엇이었나요?"", ""mention"": ""하일브론의 유령""}]",하일브론의 유령 과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요,하일브론의 유령,"[""하일브론의 유령 과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요"", ""하일브론의 유령과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요?"", ""하일브론의 유령과 관련된 범죄 현장에서 발견된 DNA의 놀라운 사실은 무엇이었나요?""]","[""하일브론의 유령"", ""하일브론의 유령"", ""하일브론의 유령""]",하일브론의 유령과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요?,하일브론의 팬텀과 관련된 범죄 현장에서 발견된 DNA에 대한 놀라운 발견은 무엇이었나요?,Fictional entity,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,True,False,True,True,False,seed
Q486606_1,validation,Where is Aleppo pepper commonly used?,en,ko,Q486606,"[""Food"", ""Plant""]","[{""translation"": ""일반적으로 사용되는 알레포 고추?"", ""mention"": ""알레포고추""}, {""translation"": ""알레포고추는 어디에서 일반적으로 사용되나요?"", ""mention"": ""알레포고추""}, {""translation"": ""알레포 고추는 일반적으로 어디에 사용되나요?"", ""mention"": ""알레포 고추""}]",일반적으로 사용되는 알레포 고추?,알레포고추,"[""일반적으로 사용되는 알레포 고추?"", ""알레포고추는 어디에서 일반적으로 사용되나요?"", ""알레포 고추는 일반적으로 어디에 사용되나요?""]","[""알레포고추"", ""알레포고추"", ""알레포 고추""]",알레포 고추는 주로 어디에서 사용되나요?,알레포 후추는 어디에 일반적으로 사용되나요?,Food,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,True,False,True,True,False,seed
Q848397_2,validation,What is the significance of the Maiden's Tower at the southern entrance of the Bosphorus?,en,ko,Q848397,"[""Landmark"", ""Artwork""]","[{""translation"": ""보스포러스 해협 남쪽 입구에 있는 처녀의 탑은 어떤 의미가 있습니까?"", ""mention"": ""처녀의 탑""}, {""translation"": ""보스포러스 남쪽 입구에 있는마이덴 타워의 의미는 무엇인가요?"", ""mention"": ""마이덴 타워""}]",보스포러스 해협 남쪽 입구에 있는 처녀의 탑은 어떤 의미가 있습니까?,처녀의 탑,"[""보스포러스 해협 남쪽 입구에 있는 처녀의 탑은 어떤 의미가 있습니까?"", ""보스포러스 남쪽 입구에 있는마이덴 타워의 의미는 무엇인가요?""]","[""처녀의 탑"", ""마이덴 타워""]",보스포러스 해협 남쪽 입구에 위치한 소녀의 탑의 중요성은 무엇인가요?,보스포루스 해협 남쪽 입구에 있는 처녀의 탑의 중요성은 무엇인가요?,Landmark,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,False,True,True,True,False,seed
Q59783_1,validation,Who directed the movie series called The Decalogue in 1988-1989?,en,ko,Q59783,"[""Movie"", ""TV series""]","[{""translation"": ""1988-1989년에 누가 십계라는 영화 시리즈를 감독했나요?"", ""mention"": ""십계""}, {""translation"": ""1988-1989년에 누가 십계 라는 영화 시리즈를 감독했나요?"", ""mention"": ""십계""}, {""translation"": ""1988-1989년에 제작된 십계의 감독은?"", ""mention"": ""십계""}]",1988-1989년에 누가 십계라는 영화 시리즈를 감독했나요?,십계,"[""1988-1989년에 누가 십계라는 영화 시리즈를 감독했나요?"", ""1988-1989년에 누가 십계 라는 영화 시리즈를 감독했나요?"", ""1988-1989년에 제작된 십계의 감독은?""]","[""십계"", ""십계"", ""십계""]",영화 시리즈 <데칼로그>를 감독한 사람은 누구입니까?,1988-1989년 영화 시리즈 '십계'를 감독한 사람은 누구인가요?,Movie,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,False,True,True,True,False,seed
Q48835523_0,validation,Can you sing a few lines from On Wings of Song?,en,ko,Q48835523,"[""Musical work""]","[{""translation"": ""노래의 날개 위에 에서 몇 줄을 부를 수 있어?"", ""mention"": ""노래의 날개 위에""}, {""translation"": ""노래의 날개 위에를 몇 소절 불러줄 수 있어?"", ""mention"": ""노래의 날개 위에""}]",노래의 날개 위에 에서 몇 줄을 부를 수 있어?,노래의 날개 위에,"[""노래의 날개 위에 에서 몇 줄을 부를 수 있어?"", ""노래의 날개 위에를 몇 소절 불러줄 수 있어?""]","[""노래의 날개 위에"", ""노래의 날개 위에""]",노래의 날개 위에 몇 줄을 부를 수 있나요?,"죄송하지만 ""On Wings of Song""의 가사를 제공할 수는 없습니다. 대신 이 노래의 주제나 내용을 설명해 드릴 수 있습니다.",Musical work,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
Q538250_2,validation,What are the superpowers of the Crimson Avenger?,en,ko,Q538250,"[""Person"", ""Fictional entity""]","[{""translation"": ""크림슨 어벤저의 초능력은 무엇인가요?"", ""mention"": ""크림슨 어벤저""}, {""translation"": ""크림슨 어벤저의 초능력은 무엇입니까?"", ""mention"": ""크림슨 어벤저""}]",크림슨 어벤저의 초능력은 무엇인가요?,크림슨 어벤저,"[""크림슨 어벤저의 초능력은 무엇인가요?"", ""크림슨 어벤저의 초능력은 무엇입니까?""]","[""크림슨 어벤저"", ""크림슨 어벤저""]",크림슨 어벤저의 초능력은 무엇입니까?,크림슨 어벤져의 슈퍼파워는 무엇인가요?,Person,11,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types""]",True,True,False,True,True,False,seed
Q644677_2,validation,How would you describe the architectural style of the Şehzade Mosque?,en,ko,Q644677,"[""Place of worship"", ""Landmark""]","[{""translation"": ""셰흐자데 모스크 의 건축 양식을 어떻게 설명하시겠습니까"", ""mention"": ""셰흐자데 모스크""}, {""translation"": ""셰흐자데 모스크의 건축 양식을 어떻게 설명하시겠습니까?"", ""mention"": ""셰흐자데 모스크""}]",셰흐자데 모스크 의 건축 양식을 어떻게 설명하시겠습니까,셰흐자데 모스크,"[""셰흐자데 모스크 의 건축 양식을 어떻게 설명하시겠습니까"", ""셰흐자데 모스크의 건축 양식을 어떻게 설명하시겠습니까?""]","[""셰흐자데 모스크"", ""셰흐자데 모스크""]",셰흐자데 모스크의 건축 양식은 어떻게 설명하시겠습니까?,Şehzade 모스크의 건축 양식은 어떻게 설명할 수 있습니다か?,Place of worship,12,"[""model_text_disagreement"", ""entity_mention_match_disagreement"", ""at_least_one_model_misses_reference_mention"", ""multi_reference_example"", ""multiple_entity_types"", ""ascii_preservation_disagreement""]",True,True,False,True,True,True,seed
