model_name,disagreement_category,count
gpt4o,all_signals_align_on_acceptance,76
gpt4o,all_signals_align_on_rejection,6
gpt4o,borderline_human_and_metrics_fail,10
gpt4o,borderline_human_but_metrics_pass,4
gpt4o,borderline_human_general_fail_entity_pass,6
gpt4o,borderline_human_general_pass_entity_fail,10
gpt4o,both_metrics_too_harsh_on_acceptable_output,21
gpt4o,entity_metric_too_harsh_on_acceptable_output,31
gpt4o,general_metric_miss_human_rejection,4
gpt4o,general_metric_too_harsh_on_acceptable_output,32
gpt4o_mini,all_signals_align_on_acceptance,35
gpt4o_mini,all_signals_align_on_rejection,19
gpt4o_mini,borderline_human_and_metrics_fail,34
gpt4o_mini,borderline_human_general_fail_entity_pass,1
gpt4o_mini,borderline_human_general_pass_entity_fail,31
gpt4o_mini,both_metrics_too_harsh_on_acceptable_output,31
gpt4o_mini,entity_metric_too_harsh_on_acceptable_output,32
gpt4o_mini,general_metric_miss_human_rejection,6
gpt4o_mini,general_metric_too_harsh_on_acceptable_output,11
