id,model_name,primary_entity_type,prediction,primary_reference_mention,reference_mentions,primary_mention_exact_match,any_reference_mention_exact_match,primary_mention_normalized_match,any_reference_mention_normalized_match,mention_substring_recall_proxy
Q1024181_0,gpt4o,Landmark,푸시킨 하우스에서 열렸던 눈에 띄는 행사나 전시회가 있나요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_0,gpt4o_mini,Landmark,푸시킨 하우스에서 열렸던 주목할 만한 사건이나 전시회가 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_1,gpt4o,Landmark,푸쉬킨 하우스의 목적이나 기능은 무엇인가요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",True,True,True,True,1.0
Q1024181_1,gpt4o_mini,Landmark,푸슈킨 하우스의 목적이나 기능은 무엇인가요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,False,False,False,0.6667
Q1024181_2,gpt4o,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_2,gpt4o_mini,Landmark,푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있나요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",True,True,True,True,1.0
Q1044613_0,gpt4o,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_0,gpt4o_mini,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_1,gpt4o,Landmark,헬싱키 중앙역의 건축 양식을 어떻게 설명하시겠습니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_1,gpt4o_mini,Landmark,헬싱키 중앙 기차역의 건축 양식을 어떻게 설명하시겠습니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_2,gpt4o,Landmark,헬싱키 중앙역에는 몇 개의 플랫폼이 있습니까?,헬싱키 중앙역,"[""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_2,gpt4o_mini,Landmark,헬싱키 중앙역에는 몇 개의 플랫폼이 있나요?,헬싱키 중앙역,"[""헬싱키 중앙역""]",True,True,True,True,1.0
Q1050014_0,gpt4o,Artwork,파운데이션과 어스는 예술 작품으로 간주됩니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.75
Q1050014_0,gpt4o_mini,Artwork,재단과 지구는 예술 작품으로 간주될 수 있습니까?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.375
Q1050014_1,gpt4o,Artwork,『파운데이션과 지구』의 저자는 누구인가요?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1050014_1,gpt4o_mini,Artwork,"""파운데이션과 지구""의 저자는 누구인가요?",파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1050014_2,gpt4o,Artwork,"""파운데이션과 대지""의 주된 매체는 무엇입니까?",파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",False,False,False,False,0.75
Q1050014_2,gpt4o_mini,Artwork,파운데이션과 지구의 주요 매체는 무엇인가요?,파운데이션과 지구,"[""파운데이션과 지구"", ""파운데이션과 지구""]",True,True,True,True,1.0
Q1053156_0,gpt4o,TV series,리소우노무스코의 주요 등장인물은 누구인가요?,이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.2
Q1053156_0,gpt4o_mini,TV series,"""리소우의 아들""의 주요 캐릭터는 누구인가요?",이상의 아들,"[""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.6
Q1053156_1,gpt4o,TV series,리스의 이상적인 아들 TV 시리즈는 얼마나 긴가요?,이상의 아들,"[""이상의 아들"", ""이상의 아들"", ""이상의 아들"", ""이상의 아들""]",False,False,False,False,0.4
