id,model_name,primary_entity_type,prediction,reference_translations,reference_count,sentence_bleu,sentence_chrf,normalized_reference_exact_match
Q1024181_0,entity_aware_mt,Landmark,푸시킨 하우스에서 일어난 놀라운 이벤트나 전시회가 있습니까?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,41.1134,53.5913,False
Q1024181_0,gpt4o_mini,Landmark,푸시킨 하우스에서 열렸던 주목할 만한 사건이나 전시회가 있습니까?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,31.0202,52.9581,False
Q1024181_0,gpt4o,Landmark,푸시킨 하우스에서 열렸던 눈에 띄는 행사나 전시회가 있나요?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,35.4948,63.104,False
Q1024181_0,vanilla_mt,Landmark,Pushkin House에서 개최 된 주목할만한 이벤트 또는 전시회가 있습니까?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,19.9602,60.4074,False
Q1024181_1,entity_aware_mt,Landmark,푸시킨 하우스의 목적이나 기능은 무엇입니까?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,84.0896,80.6342,False
Q1024181_1,gpt4o_mini,Landmark,푸슈킨 하우스의 목적이나 기능은 무엇인가요?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,75.9836,89.2941,False
Q1024181_1,gpt4o,Landmark,푸쉬킨 하우스의 목적이나 기능은 무엇인가요?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,84.0896,89.2941,False
Q1024181_1,vanilla_mt,Landmark,Pushkin House의 목적이나 기능은 무엇입니까?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,42.7287,41.3621,False
Q1024181_2,entity_aware_mt,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공 할 수 있습니까?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,58.1431,91.3328,False
Q1024181_2,gpt4o_mini,Landmark,푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있나요?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,100.0,90.9,False
Q1024181_2,gpt4o,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,100.0,91.3328,False
Q1024181_2,vanilla_mt,Landmark,Pushkin House에 대한 역사적 배경을 제공 할 수 있습니까?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,31.2394,68.1006,False
Q1044613_0,entity_aware_mt,Landmark,헬싱키 중앙 철도역의 주요 기능은 무엇입니까?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,31.2394,55.8214,False
Q1044613_0,gpt4o_mini,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,100.0,100.0,True
Q1044613_0,gpt4o,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,100.0,100.0,True
Q1044613_0,vanilla_mt,Landmark,헬싱키 중앙철도역의 주요 기능은 무엇입니까?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,38.6097,55.8214,False
Q1044613_1,entity_aware_mt,Landmark,헬싱키 중앙 철도역의 건축을 어떻게 묘사할 것인가?,"[""헬싱키 중앙역의 건축을 어떻게 설명하시겠습니까?"", ""헬싱키 중앙역은 어떤 건축물입니까?""]",2,26.2691,40.5474,False
