id,model_name,primary_entity_type,source,prediction,reference_translation,reference_mention,target_rendering_strategy,official_korean_title_preferred,preserve_english_preferred,adaptation_needed,human_entity_correct,human_rendering_strategy,human_quality_label,human_metric_likely_miss,human_notes,preferred_model,human_acceptance_label,strategy_matches_target,sentence_bleu,sentence_chrf,normalized_reference_exact_match,general_bleu_pass,general_chrf_pass,primary_mention_exact_match,any_reference_mention_exact_match,primary_mention_normalized_match,any_reference_mention_normalized_match,mention_substring_recall_proxy,disagreement_category,metric_human_disagreement,korean_strategy_issue,acceptable_alias_case,both_metrics_pass,both_metrics_fail
Q1050014_2,gpt4o,Artwork,What is the primary medium of Foundation and Earth?,"""파운데이션과 대지""의 주된 매체는 무엇입니까?",파운데이션과 지구의 주요 매체는 무엇인가요?,파운데이션과 지구,translate,no,no,no,partly,translate,partial_entity_error,yes,,gpt4o_mini,borderline,True,27.3012,36.1069,False,False,False,False,False,False,False,0.75,borderline_human_and_metrics_fail,True,False,False,False,True
Q3943166_1,gpt4o,Book series,"What makes the Ryu, the Cave Boy TV series a popular choice among children?",류 동굴 소년 TV 시리즈가 어린이들 사이에서 인기가 많은 이유는 무엇인가요?,원시소년 돌치TV 시리즈를 아이들 사이에서 인기 있는 선택으로 만드는 것은 무엇인가요?,원시소년 돌치,adapt,yes,no,yes,partly,transliterate,wrong_rendering_strategy,yes,,neither,borderline,False,23.4624,41.0225,False,False,False,False,False,False,False,0.8,borderline_human_and_metrics_fail,True,True,False,False,True
Q11271903_0,gpt4o,Fictional entity,Is Juice Ortiz a real person or a fictional character?,주스 오르티즈는 실존 인물이 아닌 가상 인물입니다.,주스 오티즈는 실제 인물인가요 아니면 가상의 캐릭터인가요?,주스 오티즈,transliterate,no,no,no,yes,transliterate,partial_entity_error,yes,answered instead of translating the question,gpt4o_mini,borderline,True,20.5567,32.0963,False,False,False,False,False,False,False,0.6,borderline_human_and_metrics_fail,True,False,False,False,True
Q4921115_2,gpt4o,Fictional entity,What is the fictional nature of Nathan Garrett?,내서해김 네이슨 개럿의 허구적 본질은 무엇입니까?,네이선 개릿 의 허구적인 성격은 무엇인가요,네이선 개릿,transliterate,no,no,no,partly,transliterate,partial_entity_error,yes,,gpt4o_mini,borderline,True,18.5751,18.575,False,False,False,False,False,False,False,0.4,borderline_human_and_metrics_fail,True,False,False,False,True
Q5056486_1,gpt4o,Food,Who created Montreal-style smoked meat?,몬트리올 스타일 스모크드 미트를 만든 사람은 누구인가요?,누가 몬트리올 스모크트 미트를 만들었나요?,몬트리올 스모크트 미트,translate,no,no,no,partly,transliterate,wrong_rendering_strategy,yes,,gpt4o_mini,borderline,False,20.5567,30.4871,False,False,False,False,False,False,False,0.5,borderline_human_and_metrics_fail,True,True,False,False,True
Q756800_0,gpt4o,Food,Can Sichuan pepper be used as a medicinal ingredient?,사천 후추는 약재로 사용될 수 있습니까?,사천 고추를 약용 성분으로 사용할 수 있나요?,사천 고추,translate,yes,no,no,partly,translate,wrong_rendering_strategy,maybe,,gpt4o_mini,borderline,True,26.2691,23.674,False,False,False,False,False,False,False,0.5,borderline_human_and_metrics_fail,True,True,False,False,True
Q894347_0,gpt4o,Food,What is the history of Bosnian pot?,보스니아의 전골의 역사란 무엇인가?,보스니아 냄비의 역사는 무엇인가요?,보스니아 냄비,transliterate,yes,no,yes,partly,translate,partial_entity_error,yes,,gpt4o_mini,borderline,False,30.2138,29.9054,False,False,False,False,False,False,False,0.6667,borderline_human_and_metrics_fail,True,False,False,False,True
Q894347_2,gpt4o,Food,Are there any variations of Bosnian pot?,보스니안 팟의 변형이 있습니까?,보스니아 냄비의 변형이 있나요?,보스니아 냄비,translate,no,no,no,partly,transliterate,partial_entity_error,yes,,gpt4o_mini,borderline,False,35.9304,28.6591,False,True,False,False,False,False,False,0.5,borderline_human_and_metrics_fail,True,False,False,False,True
Q129479_2,gpt4o,Landmark,What type of landmark is the Tomb of Hafez?,하피즈의 묘는 어떤 유형의 랜드마크인가요?,하페즈의 무덤은 어떤 유형의 랜드마크입니까?,하페즈의 무덤,transliterate,yes,no,no,partly,transliterate,partial_entity_error,yes,,gpt4o_mini,borderline,True,38.6097,42.9352,False,True,False,False,False,False,False,0.3333,borderline_human_and_metrics_fail,True,False,False,False,True
Q313594_1,gpt4o,Person,What is Kirsan Ilyumzhinov known for in the public sphere?,키르산 일류먜노프는 대중적으로 무엇으로 알려져 있습니까?,공공 영역에서 키르산 일륨지노프 는 무엇으로 알려져 있나요?,키르산 일륨지노프,transliterate,yes,no,no,partly,transliterate,incorrect_entity,yes,,neither,borderline,True,22.384,34.2655,False,False,False,False,False,False,False,0.5,borderline_human_and_metrics_fail,True,False,False,False,True
