id,model_name,primary_entity_type,prediction,reference_translations,reference_count,sentence_bleu,sentence_chrf,normalized_reference_exact_match
Q1024181_0,gpt4o,Landmark,푸시킨 하우스에서 열렸던 눈에 띄는 행사나 전시회가 있나요?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,35.4948,63.104,False
Q1024181_0,gpt4o_mini,Landmark,푸시킨 하우스에서 열렸던 주목할 만한 사건이나 전시회가 있습니까?,"[""푸쉬킨 하우스에서 개최된 주목할만한 이벤트나 전시회가 있습니까?"", ""푸시킨 하우스에서 열린 주목할 만한 행사나 전시회가 있나요?"", ""푸시킨 하우스 에서 열린 주목할 만한 행사나 전시회가 있나요""]",3,31.0202,52.9581,False
Q1024181_1,gpt4o,Landmark,푸쉬킨 하우스의 목적이나 기능은 무엇인가요?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,84.0896,89.2941,False
Q1024181_1,gpt4o_mini,Landmark,푸슈킨 하우스의 목적이나 기능은 무엇인가요?,"[""푸쉬킨 하우스의 목적 또는 기능은 무엇입니까?"", ""푸시킨 하우스의 목적이나 기능은 무엇인가요?"", ""푸시킨 하우스 의 목적이나 기능은 무엇인가요""]",3,75.9836,89.2941,False
Q1024181_2,gpt4o,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,100.0,91.3328,False
Q1024181_2,gpt4o_mini,Landmark,푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있나요?,"[""푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?"", ""푸시킨 하우스에 대한 역사적 배경을 제공할 수 있나요?"", ""푸시킨 하우스 에 대한 역사적 배경을 제공할 수 있나요""]",3,100.0,90.9,False
Q1044613_0,gpt4o,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,100.0,100.0,True
Q1044613_0,gpt4o_mini,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,"[""헬싱키 중앙역의 주요 기능은 무엇인가요?"", ""헬싱키 중앙역의 의 주요 기능은 무엇인가요?""]",2,100.0,100.0,True
Q1044613_1,gpt4o,Landmark,헬싱키 중앙역의 건축 양식을 어떻게 설명하시겠습니까?,"[""헬싱키 중앙역의 건축을 어떻게 설명하시겠습니까?"", ""헬싱키 중앙역은 어떤 건축물입니까?""]",2,36.5555,84.5724,False
Q1044613_1,gpt4o_mini,Landmark,헬싱키 중앙 기차역의 건축 양식을 어떻게 설명하시겠습니까?,"[""헬싱키 중앙역의 건축을 어떻게 설명하시겠습니까?"", ""헬싱키 중앙역은 어떤 건축물입니까?""]",2,26.2691,70.727,False
