id,model_name,primary_entity_type,prediction,primary_reference_mention,reference_mentions,primary_mention_exact_match,any_reference_mention_exact_match,primary_mention_normalized_match,any_reference_mention_normalized_match,mention_substring_recall_proxy
Q1024181_0,entity_aware_mt,Landmark,푸시킨 하우스에서 일어난 놀라운 이벤트나 전시회가 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_0,gpt4o_mini,Landmark,푸시킨 하우스에서 열렸던 주목할 만한 사건이나 전시회가 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_0,gpt4o,Landmark,푸시킨 하우스에서 열렸던 눈에 띄는 행사나 전시회가 있나요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_0,vanilla_mt,Landmark,Pushkin House에서 개최 된 주목할만한 이벤트 또는 전시회가 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,False,False,False,0.1667
Q1024181_1,entity_aware_mt,Landmark,푸시킨 하우스의 목적이나 기능은 무엇입니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_1,gpt4o_mini,Landmark,푸슈킨 하우스의 목적이나 기능은 무엇인가요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,False,False,False,0.6667
Q1024181_1,gpt4o,Landmark,푸쉬킨 하우스의 목적이나 기능은 무엇인가요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",True,True,True,True,1.0
Q1024181_1,vanilla_mt,Landmark,Pushkin House의 목적이나 기능은 무엇입니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,False,False,False,0.0
Q1024181_2,entity_aware_mt,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공 할 수 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_2,gpt4o_mini,Landmark,푸쉬킨 하우스에 대한 역사적 배경을 제공할 수 있나요?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",True,True,True,True,1.0
Q1024181_2,gpt4o,Landmark,푸시킨 하우스에 대한 역사적 배경을 제공할 수 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,True,False,True,1.0
Q1024181_2,vanilla_mt,Landmark,Pushkin House에 대한 역사적 배경을 제공 할 수 있습니까?,푸쉬킨 하우스,"[""푸쉬킨 하우스"", ""푸시킨 하우스"", ""푸시킨 하우스""]",False,False,False,False,0.0
Q1044613_0,entity_aware_mt,Landmark,헬싱키 중앙 철도역의 주요 기능은 무엇입니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_0,gpt4o_mini,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_0,gpt4o,Landmark,헬싱키 중앙역의 주요 기능은 무엇인가요?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",True,True,True,True,1.0
Q1044613_0,vanilla_mt,Landmark,헬싱키 중앙철도역의 주요 기능은 무엇입니까?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
Q1044613_1,entity_aware_mt,Landmark,헬싱키 중앙 철도역의 건축을 어떻게 묘사할 것인가?,헬싱키 중앙역,"[""헬싱키 중앙역"", ""헬싱키 중앙역""]",False,False,False,False,0.8333
